material,type,index,name,attribution_mpnn,attribution,sign,smiles,predicted_score,task
4PACZ,extra_feature,7,HOMO,,-0.4049930274486542,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,extra_feature,8,dipole,,0.6011388301849365,positive,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,extra_feature,9,MPI,,-0.6415346264839172,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,extra_feature,10,surface_min,,0.4167620539665222,positive,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,extra_feature,11,surface_max,,0.050097182393074,positive,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,extra_feature,12,PSA,,0.0674065947532653,positive,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PAHBAP,atom,0,atom_0,-0.2928325831890106,-0.2928325831890106,negative,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,atom,1,atom_1,0.0088490545749664,0.0088490545749664,positive,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,atom,2,atom_2,0.0345334820449352,0.0345334820449352,positive,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,atom,3,atom_3,0.0345334820449352,0.0345334820449352,positive,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,atom,4,atom_4,1.0110666751861572,1.0110666751861572,positive,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,atom,5,atom_5,1.290789008140564,1.290789008140564,positive,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,atom,6,atom_6,0.8656793236732483,0.8656793236732483,positive,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,atom,7,atom_7,0.0581100583076477,0.0581100583076477,positive,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,atom,8,atom_8,0.809312641620636,0.809312641620636,positive,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,atom,9,atom_9,-0.2591823935508728,-0.2591823935508728,negative,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,atom,10,atom_10,-0.0470918491482734,-0.0470918491482734,negative,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
